499,135 496.8,78
270,237 265,180
66,420 61,364
299,238 295,181
497,138 494,81
396,139 393,82
133,366 128,310
237,355 233,301
402,142 398,85
338,274 334,220
231,326 227,272
231,322 227,268
229,310 225,256
339,333 335,278
81,156 75.6,97.2
258,219 254,161
581,293 578,239
203,248 199,191
300,357 296,303
412,161 409,104
61,412 56,356
211,124 206,66
332,345 328,290
297,360 293,305
386,119 382,62
429,184 426,127
115,186 109,128
191,191 186,135
208,121 203,62
506,89 503,32
273,232 269,175
569,289 567,235
214,335 210,281
311,345 307.2,290.4
364,414 360,361
115,180 110,122
220,328 215,274
486,139 483,82
205,226 200,169
430,414 427,361
303,356 299,301
356,203 352,146
561,331 558,277
189,194 184,137
407,384 404,331
582,332 579,279
565,263 562,208
546,321 543,267
231,119 226,61
406,397 403,343
402,393 399,339
571,282 568,229
136,402 131,347
270,236.4 265.2,180
295.2,358.8 291.6,304.8
108,114 102,55.2
230.4,322.8 226.8,268.8
496.8,138 493.2,80.4
322.8,345.6 320.4,291.6
240,354 236.4,300
207.6,121.2 202.8,62.4
499.2,135.6 496.8,78
571.2,282 568.8,228
402,141.6 397.2,84
211.2,123.6 206.4,66
429.6,183.6 426,127.2
115.2,186 110.4,128.4
319.2,342 315.6,286.8
190.8,190.8 186,134.4
61.2,412.8 55.2,356.4
136.8,402 132,346.8
235.2,144 230.4,86.4
429.6,412.8 426,360
392.4,129.6 388.8,72
412.8,160.8 409.2,103.2
273.6,231.6 268.8,175.2
66,420 61.2,364.8
82.8,163.2 76.8,104.4
146.4,367.2 141.6,312
238.8,108 234,49.2
474,171.6 470.88,115.2
312,344.4 307.2,290.4
192,265.2 187.2,208.8
332.4,344.4 328.8,289.2
81.6,154.8 75.6,97.2
394.8,133.2 391.2,75.6
363.6,414 360,360
229.2,309.6 224.4,255.6
564,261.6 561.6,207.6
297.6,237.6 294,180
258,218.4 254.4,160.8
537.6,295.2 534,241.2
100.8,364.8 95.04,308.16
486,138 482.4,81.6
403.2,393.6 399.6,339.6
560.4,330 558,276
546,320.4 543.6,266.4
408,384 404.4,331.2
396,139.2 392.4,81.6
222,325.2 217.2,271.2
220.8,144 216,86.4
356.4,202.8 352.8,145.2
296.64,236.16 292.32,180
427.68,182.88 424.8,126.72
498.24,135.36 496.8,78
207.36,122.4 203.04,63.36
115.2,185.76 109.44,128.16
190.08,191.52 185.76,133.92
138.24,400.32 133.92,345.6
414.72,397.44 411.84,344.16
442.08,393.12 439.2,339.84
404.64,393.12 401.76,339.84
401.76,393.12 398.88,339.84
126.72,198.72 120.96,141.12
82.08,162.72 76.8,104.4
122.4,407.52 116.64,352.8
384.48,119.52 381.6,61.92
228.96,119.52 224.64,61.92
60.48,413.28 56.16,357.12
396,138.24 391.68,82.08
144,367.2 139.68,311.04
495.36,138.24 492.48,80.64
113.76,180 109.44,122.4
480.96,139.68 478.08,83.52
100.8,364.32 95.04,308.16
473.76,171.36 470.88,115.2
469.44,360 465.12,305.28
293.76,358.56 290.88,303.84
234.72,142.56 230.4,83.52
257.76,218.88 253.44,161.28
273.6,231.84 269.28,175.68
211.68,123.84 206.4,66
289.44,115.2 285.12,56.16
151.2,352.8 146.88,296.64
269.28,236.16 264.96,178.56
285.12,226.08 280.8,169.92
